City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,79.52,71.0,2.0,8.84,PF,1679278374.0
1,hualmay,-11.0964,-77.6139,75.27,76.0,98.0,6.55,PE,1679278374.0
2,qaanaaq,77.484,-69.3632,-10.37,62.0,11.0,7.58,GL,1679278374.0
3,ushuaia,-54.8,-68.3,42.46,81.0,75.0,26.46,AR,1679278085.0
4,yantal,56.8471,105.2542,26.8,95.0,100.0,14.79,RU,1679278378.0
6,flin flon,54.7682,-101.865,-0.87,99.0,100.0,3.96,CA,1679278379.0
7,chabahar,25.2919,60.643,72.59,63.0,0.0,0.87,IR,1679278379.0
8,kodiak,57.79,-152.4072,36.91,52.0,40.0,5.75,US,1679278379.0
9,hobart,-42.8794,147.3294,59.25,52.0,40.0,13.8,AU,1679278380.0
11,nikolskoye,59.7035,30.7861,37.29,99.0,100.0,3.85,RU,1679278380.0
12,iqaluit,63.7506,-68.5145,-20.31,68.0,2.0,23.0,CA,1679278380.0
13,ilulissat,69.2167,-51.1,23.02,58.0,75.0,3.44,GL,1679278381.0
14,lagoa,39.05,-27.9833,58.08,70.0,0.0,21.27,PT,1679278381.0
15,cidreira,-30.1811,-50.2056,74.14,80.0,31.0,9.26,BR,1679278381.0
16,mehamn,71.0357,27.8492,28.31,74.0,100.0,12.66,NO,1679278382.0
17,busselton,-33.65,115.3333,79.18,41.0,32.0,6.2,AU,1679278382.0
18,lebu,-37.6167,-73.65,55.15,86.0,25.0,19.06,CL,1679278382.0
19,vagur,61.4732,-6.8119,39.29,63.0,86.0,13.56,FO,1679278383.0
20,yellowknife,62.456,-114.3525,1.18,96.0,18.0,6.2,CA,1679278311.0
21,evensk,61.95,159.2333,12.85,81.0,37.0,3.06,RU,1679278383.0
22,victoria,22.2855,114.1577,77.05,85.0,94.0,17.0,HK,1679278175.0
23,itupiranga,-5.1347,-49.3267,73.72,98.0,96.0,2.46,BR,1679278384.0
24,puerto ayora,-0.7393,-90.3518,80.55,86.0,52.0,4.0,EC,1679278384.0
25,ponta delgada,37.7333,-25.6667,59.72,77.0,20.0,12.66,PT,1679278385.0
26,hithadhoo,-0.6,73.0833,82.11,70.0,100.0,3.11,MV,1679278385.0
27,mataura,-46.1927,168.8643,61.48,81.0,100.0,5.5,NZ,1679278385.0
28,pauini,-7.7136,-66.9764,72.75,98.0,100.0,1.88,BR,1679278386.0
29,saint-philippe,-21.3585,55.7679,76.59,83.0,69.0,4.27,RE,1679278386.0
30,kenai,60.5544,-151.2583,36.09,75.0,100.0,12.66,US,1679278386.0
